

##########################
Quicklogic Open Platform 2.0
SW Version: OP2-QuickFeather-bootloader
May 14 2020 16:40:02
##########################

User button not pressed: proceeding to load application
ram init content size: 0x00001008, 4104
ram_block: [0], start:[0x40018000], size: [0x00000400, 1024]
addr: 0x400184d4, read: 0x00030d86, write: 0x00000000
addr: 0x400184d8, read: 0x00030d86, write: 0x00000000
addr: 0x400184dc, read: 0x00030d86, write: 0x00000000
addr: 0x400184e0, read: 0x00030d86, write: 0x00000000
addr: 0x400184e4, read: 0x00030d86, write: 0x00000000
addr: 0x400184e8, read: 0x00030d86, write: 0x00000000
addr: 0x400184ec, read: 0x00030d86, write: 0x00000000
addr: 0x400184f0, read: 0x00030d86, write: 0x00000000
addr: 0x400184f4, read: 0x00030d86, write: 0x00000000
addr: 0x400184f8, read: 0x00030d86, write: 0x00000000
addr: 0x400184fc, read: 0x00030d86, write: 0x00000000
addr: 0x40018500, read: 0x00030d86, write: 0x00000000
addr: 0x40018504, read: 0x00030d86, write: 0x00000000
addr: 0x40018508, read: 0x00030d86, write: 0x00000000
addr: 0x4001850c, read: 0x00030d86, write: 0x00000000
addr: 0x40018510, read: 0x00030d86, write: 0x00000000
addr: 0x40018514, read: 0x00030d86, write: 0x00000000
addr: 0x40018518, read: 0x00030d86, write: 0x00000000
addr: 0x4001851c, read: 0x00030d86, write: 0x00000000
addr: 0x40018520, read: 0x00030d86, write: 0x00000000
addr: 0x40018524, read: 0x00030d86, write: 0x00000000
addr: 0x40018528, read: 0x00030d86, write: 0x00000000
addr: 0x4001852c, read: 0x00030d86, write: 0x00000000
addr: 0x40018530, read: 0x00030d86, write: 0x00000000
addr: 0x40018534, read: 0x00030d86, write: 0x00000000
addr: 0x40018538, read: 0x00030d86, write: 0x00000000
addr: 0x4001853c, read: 0x00030d86, write: 0x00000000
addr: 0x40018540, read: 0x00030d86, write: 0x00000000
addr: 0x40018544, read: 0x00030d86, write: 0x00000000
addr: 0x40018548, read: 0x00030d86, write: 0x00000000
addr: 0x4001854c, read: 0x00030d86, write: 0x00000000
addr: 0x40018550, read: 0x00030d86, write: 0x00000000
addr: 0x40018554, read: 0x00030d86, write: 0x00000000
addr: 0x40018558, read: 0x00030d86, write: 0x00000000
addr: 0x4001855c, read: 0x00030d86, write: 0x00000000
addr: 0x40018560, read: 0x00030d86, write: 0x00000000
addr: 0x40018564, read: 0x00030d86, write: 0x00000000
addr: 0x40018568, read: 0x00030d86, write: 0x00000000
addr: 0x4001856c, read: 0x00030d86, write: 0x00000000
addr: 0x40018570, read: 0x00030d86, write: 0x00000000
addr: 0x40018574, read: 0x00030d86, write: 0x00000000
addr: 0x40018578, read: 0x00030d86, write: 0x00000000
addr: 0x4001857c, read: 0x00030d86, write: 0x00000000
addr: 0x40018580, read: 0x00030d86, write: 0x00000000
addr: 0x40018584, read: 0x00030d86, write: 0x00000000
addr: 0x40018588, read: 0x00030d86, write: 0x00000000
addr: 0x4001858c, read: 0x00030d86, write: 0x00000000
addr: 0x40018590, read: 0x00030d86, write: 0x00000000
addr: 0x40018594, read: 0x00030d86, write: 0x00000000
addr: 0x40018598, read: 0x00030d86, write: 0x00000000
addr: 0x4001859c, read: 0x00030d86, write: 0x00000000
addr: 0x400185a0, read: 0x00030d86, write: 0x00000000
addr: 0x400185a4, read: 0x00030d86, write: 0x00000000
addr: 0x400185a8, read: 0x00030d86, write: 0x00000000
